Institución_De_Educación_Superior_(Ies),Programa_Académico,Modalidad,Matriculados
UNIVERSIDAD NACIONAL DE COLOMBIA,CIENCIAS DE LA COMPUTACIÓN,Presencial,131
UNIVERSIDAD NACIONAL DE COLOMBIA,CIENCIAS DE LA COMPUTACIÓN,Presencial,157
UNIVERSIDAD NACIONAL DE COLOMBIA,CIENCIAS DE LA COMPUTACIÓN,Presencial,14
UNIVERSIDAD NACIONAL DE COLOMBIA,CIENCIAS DE LA COMPUTACIÓN,Presencial,18
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL,Presencial,22
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL,Presencial,15
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRONOMICA,Presencial,218
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRONOMICA,Presencial,208
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRONOMICA,Presencial,194
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRONOMICA,Presencial,183
UNIVERSIDAD NACIONAL DE COLOMBIA,ECONOMIA,Presencial,221
UNIVERSIDAD NACIONAL DE COLOMBIA,ECONOMIA,Presencial,234
UNIVERSIDAD NACIONAL DE COLOMBIA,ECONOMIA,Presencial,155
UNIVERSIDAD NACIONAL DE COLOMBIA,ECONOMIA,Presencial,159
UNIVERSIDAD NACIONAL DE COLOMBIA,HISTORIA,Presencial,139
UNIVERSIDAD NACIONAL DE COLOMBIA,HISTORIA,Presencial,132
UNIVERSIDAD NACIONAL DE COLOMBIA,HISTORIA,Presencial,130
UNIVERSIDAD NACIONAL DE COLOMBIA,HISTORIA,Presencial,116
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRICOLA,Presencial,133
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRICOLA,Presencial,125
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRICOLA,Presencial,120
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRICOLA,Presencial,104
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA CIVIL,Presencial,691
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA CIVIL,Presencial,664
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA CIVIL,Presencial,254
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA CIVIL,Presencial,255
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE MINAS Y METALURGIA,Presencial,229
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE MINAS Y METALURGIA,Presencial,229
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE MINAS Y METALURGIA,Presencial,131
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE MINAS Y METALURGIA,Presencial,128
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE PETROLEOS,Presencial,170
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE PETROLEOS,Presencial,188
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE PETROLEOS,Presencial,114
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE PETROLEOS,Presencial,114
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA ELECTRICA,Presencial,410
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA ELECTRICA,Presencial,414
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA ELECTRICA,Presencial,59
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA ELECTRICA,Presencial,54
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA INDUSTRIAL,Presencial,332
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA INDUSTRIAL,Presencial,352
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA INDUSTRIAL,Presencial,231
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA INDUSTRIAL,Presencial,241
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA MECANICA,Presencial,484
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA MECANICA,Presencial,483
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA MECANICA,Presencial,57
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA MECANICA,Presencial,58
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA QUIMICA,Presencial,266
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA QUIMICA,Presencial,270
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA QUIMICA,Presencial,279
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA QUIMICA,Presencial,286
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA FORESTAL,Presencial,186
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA FORESTAL,Presencial,170
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA FORESTAL,Presencial,240
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA FORESTAL,Presencial,224
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERÍA ADMINISTRATIVA,Presencial,268
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERÍA ADMINISTRATIVA,Presencial,282
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERÍA ADMINISTRATIVA,Presencial,293
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERÍA ADMINISTRATIVA,Presencial,285
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA GEOLOGICA,Presencial,251
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA GEOLOGICA,Presencial,250
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA GEOLOGICA,Presencial,195
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA GEOLOGICA,Presencial,201
